,Rippa Buddy,Far Too Tempting,Tsegay,And Then,Bloomin Crafty
04-01-2023 12:44:18.365484,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:19.224036,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:20.118015,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:20.945810,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:21.804946,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:22.747120,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:23.659432,"(10.0, 14.5, 12.555555555555555)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:24.429952,"(10.0, 14.0, 13.0)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:25.279597,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:26.247487,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:27.192970,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 37.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:28.051719,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 38.54545454545455)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:28.828829,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 38.54545454545455)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:29.713847,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 38.54545454545455)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:30.626531,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 38.54545454545455)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:31.457967,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:32.246508,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:33.157726,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:34.113746,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:34.938866,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:35.752309,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:36.606588,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:37.472959,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:38.312330,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:39.147015,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:40.080504,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:40.962094,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:41.823035,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:42.617087,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:43.476286,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:44.366779,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:45.218236,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:46.058558,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:46.925130,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:47.842794,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:48.695799,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:49.473063,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 30.0)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.65)"
04-01-2023 12:44:50.386912,"(10.0, 14.0, 12.333333333333334)","(1.55, 1.84, 1.82875)","(19.0, 42.0, 28.5)","(6.5, 9.8, 9.600000000000001)","(3.9, 5.0, 4.79)"
