,Me And You,Sunburst,Just Like Mick,Symi Fortuna,Sorority
08-01-2023 19:10:05.874627,"(13.0, 36.0, 33.16666666666667)","(1.45, 1.91, 1.6833333333333333)","(3.8, 4.5, 3.8333333333333335)","(31.0, 320.0, 182.0)","(5.5, 9.8, 6.680000000000001)"
08-01-2023 19:10:06.728367,"(13.0, 36.0, 33.16666666666667)","(1.45, 1.91, 1.6833333333333333)","(3.8, 4.5, 3.8333333333333335)","(31.0, 320.0, 182.0)","(5.5, 9.8, 6.680000000000001)"
08-01-2023 19:10:07.738788,"(13.0, 36.0, 33.16666666666667)","(1.45, 1.91, 1.778)","(3.8, 4.5, 3.830769230769231)","(31.0, 320.0, 182.0)","(5.5, 9.8, 6.6)"
08-01-2023 19:10:08.735464,"(13.0, 36.0, 33.16666666666667)","(1.45, 1.91, 1.778)","(3.8, 4.8, 3.830769230769231)","(31.0, 320.0, 182.0)","(5.5, 9.8, 6.6)"
08-01-2023 19:10:09.654530,"(13.0, 36.0, 33.16666666666667)","(1.45, 1.91, 1.8275)","(3.8, 4.8, 3.830769230769231)","(31.0, 320.0, 182.0)","(5.5, 9.8, 6.6)"
08-01-2023 19:10:10.564141,"(13.0, 36.0, 33.16666666666667)","(1.45, 1.91, 1.8275)","(3.8, 4.8, 3.830769230769231)","(31.0, 320.0, 182.0)","(5.5, 9.8, 6.6)"
08-01-2023 19:10:11.462069,"(13.0, 36.0, 33.16666666666667)","(1.45, 1.91, 1.8275)","(3.8, 4.6, 3.827272727272727)","(31.0, 320.0, 182.0)","(5.5, 9.8, 6.6)"
08-01-2023 19:10:12.352407,"(13.0, 36.0, 33.16666666666667)","(1.45, 1.91, 1.8275)","(3.8, 4.6, 3.827272727272727)","(31.0, 320.0, 182.0)","(5.5, 9.8, 6.6)"
08-01-2023 19:10:13.261303,"(13.0, 36.0, 33.16666666666667)","(1.45, 1.91, 1.8275)","(3.8, 4.6, 3.827272727272727)","(31.0, 320.0, 182.0)","(5.5, 9.8, 6.6)"
08-01-2023 19:10:14.267409,"(13.0, 36.0, 33.16666666666667)","(1.45, 1.91, 1.8275)","(3.8, 4.6, 3.827272727272727)","(31.0, 320.0, 182.0)","(5.5, 9.8, 6.6)"
08-01-2023 19:10:15.092424,"(13.0, 36.0, 33.16666666666667)","(1.45, 1.91, 1.8275)","(3.8, 4.6, 3.827272727272727)","(31.0, 320.0, 182.0)","(5.5, 9.8, 6.6)"
08-01-2023 19:10:15.992664,"(13.0, 36.0, 33.16666666666667)","(1.45, 1.91, 1.8275)","(3.8, 4.6, 3.827272727272727)","(31.0, 320.0, 182.0)","(5.5, 9.8, 6.6)"
08-01-2023 19:10:16.919515,"(13.0, 36.0, 33.16666666666667)","(1.45, 1.91, 1.8275)","(3.8, 4.6, 3.827272727272727)","(31.0, 320.0, 84.85714285714286)","(5.5, 9.8, 8.5)"
08-01-2023 19:10:17.807736,"(13.0, 36.0, 30.666666666666664)","(1.45, 1.91, 1.8275)","(3.8, 4.6, 3.827272727272727)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.8, 7.9)"
08-01-2023 19:10:18.749500,"(13.0, 36.0, 30.666666666666664)","(1.45, 1.91, 1.8275)","(3.8, 4.5, 3.9)","(31.0, 330.0, 79.75)","(5.5, 9.8, 8.964285714285715)"
08-01-2023 19:10:19.604842,"(13.0, 36.0, 30.666666666666664)","(1.45, 1.91, 1.8275)","(3.8, 4.5, 3.9)","(31.0, 330.0, 79.75)","(5.5, 9.8, 8.964285714285715)"
08-01-2023 19:10:20.564763,"(13.0, 36.0, 30.666666666666664)","(1.45, 1.91, 1.8275)","(3.8, 4.5, 3.9)","(31.0, 330.0, 79.75)","(5.5, 9.8, 8.964285714285715)"
08-01-2023 19:10:21.578239,"(13.0, 36.0, 32.0)","(1.45, 1.91, 1.8275)","(3.8, 4.5, 3.9)","(31.0, 330.0, 79.75)","(5.5, 9.8, 8.964285714285715)"
08-01-2023 19:10:22.422321,"(13.0, 36.0, 32.0)","(1.45, 1.91, 1.8275)","(3.8, 4.5, 3.9)","(31.0, 330.0, 79.75)","(5.5, 9.8, 8.964285714285715)"
08-01-2023 19:10:23.303029,"(13.0, 38.0, 33.5)","(1.45, 1.91, 1.8275)","(3.8, 4.5, 3.9)","(31.0, 330.0, 79.75)","(5.5, 9.8, 8.964285714285715)"
08-01-2023 19:10:24.166433,"(13.0, 38.0, 33.5)","(1.45, 1.91, 1.8275)","(3.8, 4.5, 3.9)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.8, 8.964285714285715)"
08-01-2023 19:10:25.068343,"(13.0, 38.0, 33.5)","(1.45, 1.91, 1.8275)","(3.8, 4.5, 3.9)","(31.0, 330.0, 79.75)","(5.5, 9.8, 7.35)"
08-01-2023 19:10:26.044651,"(13.0, 38.0, 33.5)","(1.45, 1.91, 1.8275)","(3.8, 4.8, 3.830769230769231)","(31.0, 330.0, 79.75)","(5.5, 9.6, 7.9)"
08-01-2023 19:10:26.862972,"(13.0, 38.0, 33.5)","(1.45, 1.91, 1.778)","(3.8, 5.2, 3.881818181818182)","(31.0, 330.0, 79.75)","(5.5, 9.6, 7.9)"
08-01-2023 19:10:27.777389,"(13.0, 38.0, 33.5)","(1.45, 1.91, 1.778)","(3.8, 5.0, 4.821428571428571)","(31.0, 330.0, 79.75)","(5.5, 9.6, 7.138461538461539)"
08-01-2023 19:10:28.694668,"(13.0, 38.0, 33.5)","(1.45, 1.91, 1.778)","(3.8, 4.9, 3.9923076923076923)","(31.0, 330.0, 79.75)","(5.5, 9.6, 7.35)"
08-01-2023 19:10:29.626629,"(13.0, 38.0, 33.5)","(1.45, 1.91, 1.778)","(3.8, 4.8, 4.122580645161291)","(31.0, 330.0, 79.75)","(5.5, 9.6, 7.810526315789474)"
08-01-2023 19:10:30.614391,"(13.0, 38.0, 33.5)","(1.45, 1.91, 1.778)","(3.8, 4.8, 4.122580645161291)","(31.0, 330.0, 79.75)","(5.5, 9.6, 7.810526315789474)"
08-01-2023 19:10:31.492175,"(13.0, 38.0, 33.5)","(1.45, 1.91, 1.778)","(3.8, 4.8, 4.122580645161291)","(31.0, 330.0, 79.75)","(5.5, 9.6, 7.810526315789474)"
08-01-2023 19:10:32.373628,"(13.0, 38.0, 33.5)","(1.45, 1.91, 1.778)","(3.8, 4.8, 4.122580645161291)","(31.0, 330.0, 79.75)","(5.5, 9.6, 7.810526315789474)"
08-01-2023 19:10:33.280617,"(13.0, 38.0, 33.5)","(1.45, 1.91, 1.778)","(3.8, 4.8, 4.122580645161291)","(31.0, 330.0, 79.75)","(5.5, 9.6, 7.810526315789474)"
