,World Of Fools,Adios See Ya,Toller,Lion Of The Sea,Jaime Jamel,Dinner Bell,Scaredy Cat,Baytown Jakester,Forever The Boss,Urban Warrior
05-01-2023 12:41:31.429894,"(21.0, 170.0, 63.5)","(10.0, 26.0, 22.75)","(2.4, 2.74, 2.7275)","(9.0, 16.0, 15.705882352941178)","(21.0, 36.0, 34.0)","(20.0, 34.0, 31.0)","(10.0, 23.0, 21.0)","(4.4, 6.0, 5.882608695652174)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.358620689655172)"
05-01-2023 12:41:32.825764,"(21.0, 170.0, 63.5)","(10.0, 26.0, 22.75)","(2.4, 2.74, 2.7275)","(9.0, 16.0, 15.705882352941178)","(21.0, 36.0, 34.0)","(20.0, 34.0, 31.0)","(10.0, 23.0, 21.0)","(4.4, 6.0, 5.882608695652174)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.358620689655172)"
05-01-2023 12:41:34.175723,"(21.0, 170.0, 63.5)","(10.0, 26.0, 22.75)","(2.4, 2.74, 2.7275)","(9.0, 16.0, 15.705882352941178)","(21.0, 36.0, 34.0)","(20.0, 34.0, 31.0)","(10.0, 23.0, 21.0)","(4.4, 6.0, 5.882608695652174)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.358620689655172)"
05-01-2023 12:41:35.501598,"(21.0, 170.0, 63.5)","(10.0, 26.0, 22.75)","(2.4, 2.74, 2.7275)","(9.0, 16.0, 15.333333333333334)","(21.0, 36.0, 34.0)","(20.0, 34.0, 33.0)","(10.0, 23.0, 21.0)","(4.4, 6.0, 5.882608695652174)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.358620689655172)"
05-01-2023 12:41:36.866706,"(21.0, 170.0, 63.5)","(10.0, 26.0, 22.75)","(2.4, 2.74, 2.7275)","(9.0, 16.0, 15.333333333333334)","(21.0, 36.0, 31.666666666666664)","(20.0, 34.0, 33.0)","(10.0, 23.0, 21.0)","(4.4, 6.0, 5.882608695652174)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.358620689655172)"
05-01-2023 12:41:38.382409,"(21.0, 170.0, 43.77777777777778)","(10.0, 26.0, 22.75)","(2.4, 2.74, 2.72)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.0)","(20.0, 34.0, 33.666666666666664)","(10.0, 23.0, 19.5)","(4.4, 6.0, 5.882608695652174)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.345454545454546)"
05-01-2023 12:41:39.858800,"(21.0, 170.0, 43.77777777777778)","(10.0, 26.0, 22.75)","(2.4, 2.74, 2.72)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.0)","(20.0, 34.0, 32.4)","(10.0, 23.0, 19.5)","(4.4, 6.0, 5.882608695652174)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.358620689655172)"
05-01-2023 12:41:41.501355,"(21.0, 170.0, 43.77777777777778)","(10.0, 26.0, 22.75)","(2.4, 2.74, 2.72)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.0)","(20.0, 34.0, 32.4)","(10.0, 23.0, 19.5)","(4.4, 6.0, 5.882608695652174)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.358620689655172)"
05-01-2023 12:41:43.141456,"(21.0, 170.0, 43.77777777777778)","(10.0, 26.0, 22.75)","(2.4, 2.74, 2.72)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.0)","(20.0, 34.0, 32.4)","(10.0, 23.0, 19.5)","(4.4, 6.0, 5.882608695652174)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.358620689655172)"
05-01-2023 12:41:44.697259,"(21.0, 170.0, 43.77777777777778)","(10.0, 26.0, 22.75)","(2.4, 2.74, 2.72)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.0)","(20.0, 34.0, 32.4)","(10.0, 23.0, 19.5)","(4.4, 6.0, 5.882608695652174)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.358620689655172)"
05-01-2023 12:41:46.273743,"(21.0, 170.0, 43.77777777777778)","(10.0, 26.0, 22.75)","(2.4, 2.74, 2.72)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 31.666666666666664)","(20.0, 34.0, 32.4)","(10.0, 23.0, 21.0)","(4.4, 6.0, 5.882608695652174)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.358620689655172)"
05-01-2023 12:41:47.866532,"(21.0, 170.0, 63.5)","(10.0, 26.0, 22.75)","(2.4, 2.74, 2.775)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 31.666666666666664)","(20.0, 34.0, 31.333333333333332)","(10.0, 23.0, 21.0)","(4.4, 6.0, 5.882608695652174)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:41:49.471179,"(21.0, 170.0, 63.5)","(10.0, 26.0, 22.75)","(2.4, 2.82, 2.775)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 31.666666666666664)","(20.0, 34.0, 31.333333333333332)","(10.0, 23.0, 21.0)","(4.4, 6.0, 5.882608695652174)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:41:50.946625,"(21.0, 170.0, 63.5)","(10.0, 26.0, 22.75)","(2.4, 2.82, 2.775)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 31.666666666666664)","(20.0, 34.0, 26.0)","(10.0, 23.0, 22.0)","(4.4, 6.0, 5.854838709677419)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:41:52.525526,"(21.0, 170.0, 63.5)","(10.0, 26.0, 23.166666666666668)","(2.4, 2.82, 2.775)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.81818181818182)","(20.0, 34.0, 32.285714285714285)","(10.0, 23.0, 22.0)","(4.4, 6.0, 5.788235294117647)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:41:53.993315,"(21.0, 170.0, 63.5)","(10.0, 26.0, 23.0)","(2.4, 2.82, 2.775)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.81818181818182)","(20.0, 34.0, 32.285714285714285)","(10.0, 23.0, 22.0)","(4.4, 6.0, 5.828571428571428)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:41:55.423312,"(21.0, 170.0, 63.5)","(10.0, 26.0, 23.0)","(2.4, 2.82, 2.775)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.81818181818182)","(20.0, 34.0, 32.285714285714285)","(10.0, 23.0, 22.0)","(4.4, 6.0, 5.828571428571428)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:41:56.784254,"(21.0, 170.0, 63.5)","(10.0, 26.0, 24.583333333333336)","(2.4, 2.82, 2.775)","(9.0, 16.0, 15.736842105263158)","(21.0, 36.0, 34.0)","(20.0, 34.0, 33.42857142857143)","(10.0, 23.0, 20.666666666666668)","(4.4, 6.0, 5.828571428571428)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:41:58.159571,"(21.0, 170.0, 43.77777777777778)","(10.0, 26.0, 24.583333333333336)","(2.4, 2.82, 2.775)","(9.0, 16.0, 15.736842105263158)","(21.0, 36.0, 34.666666666666664)","(20.0, 34.0, 31.25)","(10.0, 23.0, 21.055555555555557)","(4.4, 6.0, 5.828571428571428)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:41:59.499157,"(21.0, 170.0, 43.77777777777778)","(10.0, 26.0, 24.857142857142858)","(2.4, 2.82, 2.775)","(9.0, 16.0, 15.736842105263158)","(21.0, 36.0, 34.666666666666664)","(20.0, 34.0, 31.25)","(10.0, 23.0, 21.055555555555557)","(4.4, 6.0, 5.828571428571428)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:00.837157,"(21.0, 170.0, 43.77777777777778)","(10.0, 26.0, 24.857142857142858)","(2.4, 2.82, 2.775)","(9.0, 16.0, 15.736842105263158)","(21.0, 36.0, 34.666666666666664)","(20.0, 34.0, 31.25)","(10.0, 23.0, 21.055555555555557)","(4.4, 6.0, 5.8875)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:02.179788,"(21.0, 170.0, 43.77777777777778)","(10.0, 26.0, 22.25)","(2.4, 2.82, 2.775)","(9.0, 16.0, 15.736842105263158)","(21.0, 36.0, 34.666666666666664)","(20.0, 34.0, 32.42857142857143)","(10.0, 23.0, 20.8125)","(4.4, 6.0, 5.8875)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:03.649115,"(21.0, 170.0, 43.77777777777778)","(10.0, 26.0, 22.5)","(2.4, 2.82, 2.8)","(9.0, 16.0, 15.736842105263158)","(21.0, 36.0, 34.666666666666664)","(20.0, 34.0, 32.42857142857143)","(10.0, 23.0, 20.666666666666668)","(4.4, 6.0, 5.8875)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:05.237678,"(21.0, 170.0, 43.77777777777778)","(10.0, 26.0, 22.5)","(2.4, 2.82, 2.8)","(9.0, 16.0, 15.736842105263158)","(21.0, 36.0, 34.666666666666664)","(20.0, 34.0, 32.42857142857143)","(10.0, 23.0, 20.083333333333332)","(4.4, 6.0, 5.854838709677419)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:06.993175,"(21.0, 170.0, 42.2)","(10.0, 26.0, 22.5)","(2.4, 2.82, 2.784)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 35.2)","(20.0, 34.0, 33.541666666666664)","(10.0, 23.0, 19.666666666666668)","(4.4, 6.0, 5.854838709677419)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:08.609140,"(21.0, 170.0, 42.2)","(10.0, 26.0, 24.2)","(2.4, 2.82, 2.784)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.666666666666664)","(20.0, 34.0, 32.333333333333336)","(10.0, 23.0, 19.666666666666668)","(4.4, 6.0, 5.742857142857143)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:10.089936,"(21.0, 170.0, 42.2)","(10.0, 26.0, 23.166666666666668)","(2.4, 2.82, 2.784)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.666666666666664)","(20.0, 34.0, 32.333333333333336)","(10.0, 23.0, 19.666666666666668)","(4.4, 6.0, 5.742857142857143)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:11.458862,"(21.0, 170.0, 42.2)","(10.0, 26.0, 23.166666666666668)","(2.4, 2.82, 2.784)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.666666666666664)","(20.0, 34.0, 32.333333333333336)","(10.0, 23.0, 19.666666666666668)","(4.4, 6.0, 5.742857142857143)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:12.869758,"(21.0, 170.0, 42.2)","(10.0, 26.0, 24.785714285714285)","(2.4, 2.82, 2.784)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 32.333333333333336)","(20.0, 34.0, 32.888888888888886)","(10.0, 23.0, 20.36842105263158)","(4.4, 6.0, 5.742857142857143)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:14.279601,"(21.0, 170.0, 42.2)","(10.0, 26.0, 23.333333333333332)","(2.4, 2.82, 2.784)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 32.333333333333336)","(20.0, 34.0, 32.888888888888886)","(10.0, 23.0, 20.36842105263158)","(4.4, 6.0, 5.742857142857143)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:15.673554,"(21.0, 170.0, 63.5)","(10.0, 26.0, 23.333333333333332)","(2.4, 2.82, 2.745)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 32.333333333333336)","(20.0, 34.0, 32.888888888888886)","(10.0, 23.0, 22.09090909090909)","(4.4, 6.0, 5.742857142857143)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:17.180669,"(21.0, 170.0, 37.46666666666667)","(10.0, 26.0, 24.857142857142858)","(2.4, 2.82, 2.8049999999999997)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.625)","(20.0, 34.0, 33.411764705882355)","(10.0, 23.0, 19.5)","(4.4, 6.0, 5.742857142857143)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:18.580756,"(21.0, 170.0, 37.46666666666667)","(10.0, 26.0, 22.25)","(2.4, 2.82, 2.77)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.166666666666664)","(20.0, 34.0, 33.411764705882355)","(10.0, 23.0, 19.5)","(4.4, 6.0, 5.742857142857143)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:20.058491,"(21.0, 170.0, 37.46666666666667)","(10.0, 26.0, 22.25)","(2.4, 2.82, 2.77)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.166666666666664)","(20.0, 34.0, 33.16666666666667)","(10.0, 23.0, 19.5)","(4.4, 6.0, 5.742857142857143)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:21.524825,"(21.0, 170.0, 37.46666666666667)","(10.0, 26.0, 22.25)","(2.4, 2.82, 2.809655172413793)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.166666666666664)","(20.0, 34.0, 31.0)","(10.0, 23.0, 19.5)","(4.4, 6.0, 5.742857142857143)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:22.982887,"(21.0, 170.0, 37.46666666666667)","(10.0, 26.0, 23.1875)","(2.4, 2.82, 2.8524324324324324)","(9.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.166666666666664)","(20.0, 34.0, 31.0)","(10.0, 23.0, 19.5)","(4.4, 6.0, 5.742857142857143)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:24.435795,"(21.0, 170.0, 37.46666666666667)","(10.0, 26.0, 20.75)","(2.4, 2.86, 2.8524324324324324)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.166666666666664)","(20.0, 34.0, 31.0)","(10.0, 23.0, 19.5)","(4.4, 6.0, 5.705263157894737)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:25.902672,"(21.0, 170.0, 56.4)","(10.0, 26.0, 20.75)","(2.4, 2.86, 2.8524324324324324)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 31.666666666666664)","(20.0, 34.0, 31.0)","(10.0, 23.0, 22.09090909090909)","(4.4, 6.0, 5.705263157894737)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:27.317463,"(21.0, 170.0, 33.916666666666664)","(10.0, 26.0, 20.2)","(2.4, 2.86, 2.844444444444444)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.166666666666664)","(20.0, 34.0, 32.5)","(10.0, 23.0, 20.647058823529413)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:28.664607,"(21.0, 170.0, 33.916666666666664)","(10.0, 25.0, 20.2)","(2.4, 2.86, 2.844444444444444)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.166666666666664)","(20.0, 34.0, 32.5)","(10.0, 23.0, 20.647058823529413)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:30.100660,"(21.0, 170.0, 33.916666666666664)","(10.0, 25.0, 21.25)","(2.4, 2.86, 2.844444444444444)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.166666666666664)","(20.0, 34.0, 32.5)","(10.0, 23.0, 20.647058823529413)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:31.510567,"(21.0, 170.0, 33.916666666666664)","(10.0, 25.0, 21.0)","(2.4, 2.86, 2.844444444444444)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.166666666666664)","(20.0, 34.0, 32.5)","(10.0, 23.0, 20.647058823529413)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:33.012709,"(21.0, 170.0, 33.916666666666664)","(10.0, 25.0, 21.0)","(2.4, 2.86, 2.844444444444444)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.166666666666664)","(20.0, 34.0, 32.5)","(10.0, 23.0, 20.647058823529413)","(4.4, 6.0, 5.92)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:34.412942,"(21.0, 170.0, 33.916666666666664)","(10.0, 25.0, 23.0)","(2.4, 2.86, 2.844444444444444)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.166666666666664)","(20.0, 34.0, 32.5)","(10.0, 23.0, 20.647058823529413)","(4.4, 6.0, 5.92)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:35.901130,"(21.0, 170.0, 33.916666666666664)","(10.0, 25.0, 21.25)","(2.4, 2.86, 2.8526315789473684)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 31.666666666666664)","(20.0, 34.0, 28.0)","(10.0, 23.0, 22.09090909090909)","(4.4, 6.0, 5.92)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:37.245476,"(21.0, 170.0, 56.4)","(10.0, 25.0, 20.75)","(2.4, 2.86, 2.8526315789473684)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.166666666666664)","(20.0, 34.0, 32.714285714285715)","(10.0, 23.0, 19.607142857142858)","(4.4, 6.0, 5.92)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:38.588356,"(21.0, 170.0, 36.875)","(10.0, 24.0, 22.375)","(2.4, 2.86, 2.873913043478261)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.166666666666664)","(20.0, 34.0, 32.714285714285715)","(10.0, 23.0, 19.607142857142858)","(4.4, 6.0, 5.92)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:39.857049,"(21.0, 170.0, 36.875)","(10.0, 24.0, 22.375)","(2.4, 2.9, 2.8975)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.166666666666664)","(20.0, 34.0, 32.714285714285715)","(10.0, 23.0, 19.607142857142858)","(4.4, 6.0, 5.92)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:41.126014,"(21.0, 170.0, 36.875)","(10.0, 24.0, 21.0)","(2.4, 2.94, 2.9153846153846152)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.9)","(20.0, 34.0, 32.714285714285715)","(10.0, 23.0, 19.607142857142858)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:42.434326,"(21.0, 170.0, 36.875)","(10.0, 24.0, 21.0)","(2.4, 2.94, 2.9153846153846152)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.9)","(20.0, 34.0, 32.714285714285715)","(10.0, 23.0, 19.607142857142858)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:43.794046,"(21.0, 170.0, 36.875)","(10.0, 24.0, 22.5)","(2.4, 2.94, 2.851111111111111)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.9)","(20.0, 34.0, 32.714285714285715)","(10.0, 23.0, 19.607142857142858)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:45.101214,"(21.0, 170.0, 36.875)","(10.0, 24.0, 22.5)","(2.4, 2.94, 2.851111111111111)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.9)","(20.0, 34.0, 32.714285714285715)","(10.0, 23.0, 19.607142857142858)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 13.342105263157894)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:46.389272,"(21.0, 170.0, 36.875)","(10.0, 24.0, 20.333333333333332)","(2.4, 2.94, 2.86)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.75)","(20.0, 34.0, 33.4375)","(10.0, 23.0, 19.666666666666668)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 13.342105263157894)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:47.738099,"(21.0, 170.0, 42.2)","(10.0, 24.0, 19.416666666666668)","(2.4, 2.94, 2.86)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.75)","(20.0, 34.0, 33.4375)","(10.0, 23.0, 19.666666666666668)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:49.178234,"(21.0, 170.0, 42.2)","(10.0, 23.0, 20.75)","(2.4, 2.94, 2.904)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.75)","(20.0, 34.0, 32.666666666666664)","(10.0, 23.0, 19.666666666666668)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:50.549843,"(21.0, 170.0, 42.2)","(10.0, 23.0, 21.0)","(2.4, 2.94, 2.904)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.75)","(20.0, 34.0, 32.666666666666664)","(10.0, 23.0, 19.666666666666668)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:51.948548,"(21.0, 170.0, 42.2)","(10.0, 23.0, 21.0)","(2.4, 2.94, 2.904)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.75)","(20.0, 34.0, 32.666666666666664)","(10.0, 23.0, 19.666666666666668)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:53.339739,"(21.0, 170.0, 42.2)","(10.0, 23.0, 20.333333333333332)","(2.4, 2.94, 2.904)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.75)","(20.0, 34.0, 32.666666666666664)","(10.0, 23.0, 19.666666666666668)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:54.837358,"(21.0, 170.0, 42.2)","(10.0, 23.0, 20.333333333333332)","(2.4, 2.94, 2.904)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.75)","(20.0, 34.0, 32.666666666666664)","(10.0, 23.0, 19.666666666666668)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:56.352852,"(21.0, 170.0, 34.76190476190476)","(10.0, 23.0, 19.0625)","(2.4, 2.94, 2.8870588235294115)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.57142857142857)","(20.0, 34.0, 32.666666666666664)","(10.0, 23.0, 19.73076923076923)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:57.818509,"(21.0, 170.0, 34.45454545454545)","(10.0, 23.0, 19.142857142857142)","(2.4, 2.94, 2.88)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.57142857142857)","(20.0, 34.0, 32.666666666666664)","(10.0, 23.0, 19.73076923076923)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:42:59.181664,"(21.0, 170.0, 34.45454545454545)","(10.0, 23.0, 20.545454545454547)","(2.4, 2.94, 2.8909090909090907)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.57142857142857)","(20.0, 34.0, 28.0)","(10.0, 23.0, 19.73076923076923)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:43:00.489798,"(21.0, 170.0, 34.45454545454545)","(10.0, 23.0, 20.5)","(2.4, 2.94, 2.9136585365853658)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.57142857142857)","(20.0, 34.0, 26.0)","(10.0, 23.0, 19.73076923076923)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:43:01.784262,"(21.0, 170.0, 34.45454545454545)","(10.0, 22.0, 21.3)","(2.4, 2.94, 2.9136585365853658)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.714285714285715)","(20.0, 34.0, 26.0)","(10.0, 23.0, 19.73076923076923)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:43:03.021912,"(21.0, 170.0, 34.45454545454545)","(10.0, 22.0, 21.3)","(2.4, 2.94, 2.9136585365853658)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.714285714285715)","(20.0, 34.0, 26.0)","(10.0, 23.0, 19.6)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.336842105263158)"
05-01-2023 12:43:04.261888,"(21.0, 170.0, 34.45454545454545)","(10.0, 22.0, 21.6)","(2.4, 2.94, 2.895)","(10.0, 16.0, 15.615384615384615)","(21.0, 36.0, 34.57142857142857)","(20.0, 34.0, 30.57142857142857)","(10.0, 23.0, 19.136363636363637)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.25)"
05-01-2023 12:43:05.533931,"(21.0, 170.0, 34.45454545454545)","(10.0, 22.0, 21.6)","(2.4, 2.94, 2.895)","(10.0, 16.0, 15.444444444444445)","(21.0, 36.0, 34.57142857142857)","(20.0, 34.0, 30.57142857142857)","(10.0, 23.0, 19.136363636363637)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.25)"
05-01-2023 12:43:06.757327,"(21.0, 170.0, 34.45454545454545)","(10.0, 22.0, 20.25)","(2.4, 2.94, 2.895)","(10.0, 16.0, 15.444444444444445)","(21.0, 36.0, 34.57142857142857)","(20.0, 34.0, 32.0)","(10.0, 23.0, 19.785714285714285)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.25)"
05-01-2023 12:43:07.996429,"(21.0, 170.0, 38.92307692307692)","(10.0, 22.0, 20.25)","(2.4, 2.94, 2.8757142857142854)","(10.0, 16.0, 15.444444444444445)","(21.0, 36.0, 34.888888888888886)","(20.0, 34.0, 31.25)","(10.0, 23.0, 19.785714285714285)","(4.4, 6.0, 5.822222222222222)","(7.5, 15.0, 12.75)","(5.0, 6.4, 6.25)"
