,Adonis Kick,Princeton Award,Almsgiver,Abreed,Vadaboy,Flame Of Venice,Light Up The Moon,Mr Mischief,Allaboutattitude
04-01-2023 14:28:47.789810,"(7.5, 8.6, 8.32)","(3.9, 4.4, 4.39551282051282)","(12.0, 17.5, 17.243589743589745)","(9.0, 11.5, 11.048387096774194)","(3.5, 3.9, 3.843457943925234)","(5.5, 6.8, 6.748484848484848)","(13.0, 21.0, 20.38888888888889)","(21.0, 44.0, 42.57142857142857)","(31.0, 75.0, 73.46153846153847)"
04-01-2023 14:28:49.177896,"(7.5, 8.6, 8.32)","(3.9, 4.4, 4.39551282051282)","(12.0, 17.5, 17.177419354838708)","(9.0, 11.5, 11.048387096774194)","(3.5, 3.85, 3.843457943925234)","(5.5, 6.8, 6.748484848484848)","(14.0, 21.0, 20.38888888888889)","(21.0, 44.0, 42.333333333333336)","(31.0, 75.0, 72.87878787878788)"
04-01-2023 14:28:50.545307,"(7.5, 8.6, 8.32)","(3.9, 4.4, 4.352631578947368)","(12.0, 17.5, 17.1875)","(9.0, 11.5, 11.048387096774194)","(3.5, 3.85, 3.848051948051948)","(5.5, 6.8, 6.490909090909091)","(14.0, 21.0, 20.38888888888889)","(21.0, 44.0, 43.310344827586206)","(31.0, 75.0, 72.87878787878788)"
04-01-2023 14:28:51.995328,"(7.5, 8.6, 8.384615384615383)","(3.9, 4.5, 4.426315789473684)","(12.0, 17.5, 17.1875)","(9.0, 11.5, 11.048387096774194)","(3.5, 3.85, 3.848051948051948)","(5.5, 6.6, 6.490909090909091)","(14.0, 21.0, 20.38888888888889)","(21.0, 44.0, 43.310344827586206)","(31.0, 75.0, 72.87878787878788)"
04-01-2023 14:28:53.376648,"(7.5, 8.6, 8.384615384615383)","(3.9, 4.5, 4.430487804878049)","(12.0, 17.5, 17.1875)","(9.0, 11.5, 11.048387096774194)","(3.5, 3.85, 3.848051948051948)","(5.5, 6.6, 6.4790322580645165)","(14.0, 21.0, 20.38888888888889)","(21.0, 44.0, 43.0)","(31.0, 75.0, 73.66666666666667)"
04-01-2023 14:28:54.770584,"(7.5, 8.4, 8.313725490196079)","(3.9, 4.5, 4.293302540415704)","(12.0, 17.5, 17.1875)","(9.0, 11.5, 11.235849056603774)","(3.5, 3.85, 3.859677419354839)","(5.5, 6.6, 6.485496183206107)","(14.0, 21.0, 20.466666666666665)","(21.0, 44.0, 43.0)","(31.0, 75.0, 72.87878787878788)"
04-01-2023 14:28:56.210886,"(7.5, 8.4, 8.27741935483871)","(3.9, 4.3, 4.293302540415704)","(12.0, 17.5, 17.1875)","(9.0, 11.5, 11.235849056603774)","(3.5, 3.9, 3.8612466124661244)","(5.5, 6.6, 6.5049504950495045)","(14.0, 21.0, 20.466666666666665)","(21.0, 44.0, 43.0)","(31.0, 75.0, 72.87878787878788)"
04-01-2023 14:28:57.594489,"(7.5, 8.4, 8.27741935483871)","(3.9, 4.3, 4.293302540415704)","(12.0, 17.5, 17.1875)","(9.0, 11.5, 11.23076923076923)","(3.5, 3.9, 3.867792792792793)","(5.5, 6.6, 6.5049504950495045)","(14.0, 21.0, 20.466666666666665)","(21.0, 44.0, 43.0)","(31.0, 75.0, 73.66666666666667)"
04-01-2023 14:28:59.025109,"(7.5, 8.4, 8.27741935483871)","(3.9, 4.3, 4.34125)","(12.0, 17.5, 17.22972972972973)","(9.0, 11.5, 11.389908256880734)","(3.5, 3.9, 3.88031914893617)","(5.5, 6.6, 6.5)","(14.0, 21.0, 20.5)","(21.0, 44.0, 43.0)","(31.0, 75.0, 73.66666666666667)"
04-01-2023 14:29:00.362651,"(7.5, 8.4, 8.27741935483871)","(3.9, 4.4, 4.34125)","(12.0, 17.5, 17.22972972972973)","(9.0, 11.5, 11.42079207920792)","(3.5, 3.9, 3.88031914893617)","(5.5, 6.6, 6.473809523809524)","(14.0, 21.0, 20.636363636363637)","(21.0, 44.0, 43.0)","(31.0, 75.0, 72.87878787878788)"
04-01-2023 14:29:01.684137,"(7.5, 8.4, 8.27741935483871)","(3.9, 4.4, 4.384253578732107)","(12.0, 17.5, 17.22972972972973)","(9.0, 11.5, 11.42079207920792)","(3.5, 3.9, 3.897307692307692)","(5.5, 6.6, 6.462337662337663)","(14.0, 21.0, 20.636363636363637)","(21.0, 44.0, 43.03030303030303)","(31.0, 75.0, 73.66666666666667)"
04-01-2023 14:29:03.030207,"(7.5, 8.6, 8.476923076923077)","(3.9, 4.4, 4.366301969365427)","(12.0, 17.5, 17.22972972972973)","(9.0, 11.5, 11.42079207920792)","(3.5, 3.9, 3.897307692307692)","(5.5, 6.6, 6.462337662337663)","(14.0, 21.0, 20.636363636363637)","(21.0, 44.0, 43.03030303030303)","(31.0, 75.0, 96.27906976744185)"
04-01-2023 14:29:04.345853,"(7.5, 8.6, 8.517948717948718)","(3.9, 4.4, 4.366301969365427)","(12.0, 17.5, 17.136363636363637)","(9.0, 11.5, 11.417525773195877)","(3.5, 3.9, 3.8957671957671955)","(5.5, 6.6, 6.472727272727273)","(14.0, 21.0, 20.8)","(21.0, 44.0, 45.2)","(31.0, 100.0, 89.90566037735849)"
04-01-2023 14:29:05.735643,"(7.5, 8.6, 8.548387096774194)","(3.9, 4.4, 4.361702127659575)","(12.0, 17.5, 16.910714285714285)","(9.0, 11.5, 11.417525773195877)","(3.5, 3.9, 3.8957671957671955)","(5.5, 6.6, 6.472727272727273)","(14.0, 21.0, 21.555555555555557)","(21.0, 46.0, 45.77777777777778)","(31.0, 95.0, 89.90566037735849)"
04-01-2023 14:29:07.087470,"(7.5, 8.6, 8.548387096774194)","(3.9, 4.4, 4.35843621399177)","(12.0, 17.0, 16.870967741935484)","(9.0, 11.5, 11.417525773195877)","(3.5, 3.9, 3.8957671957671955)","(5.5, 6.6, 6.472727272727273)","(14.0, 22.0, 21.458333333333332)","(21.0, 46.0, 45.77777777777778)","(41.0, 95.0, 89.90566037735849)"
04-01-2023 14:29:08.457792,"(7.5, 8.6, 8.542857142857143)","(3.9, 4.4, 4.35843621399177)","(12.0, 17.0, 16.82608695652174)","(9.0, 11.5, 11.430851063829786)","(3.5, 3.9, 3.8899122807017545)","(5.5, 6.6, 6.472727272727273)","(14.0, 22.0, 21.555555555555557)","(21.0, 46.0, 45.80952380952381)","(41.0, 95.0, 93.54838709677419)"
04-01-2023 14:29:09.822486,"(7.5, 8.6, 8.430769230769231)","(3.9, 4.4, 4.312)","(12.0, 17.0, 16.82608695652174)","(9.0, 11.5, 11.380434782608695)","(3.5, 3.9, 3.8899122807017545)","(5.5, 6.6, 6.472727272727273)","(14.0, 22.0, 21.555555555555557)","(21.0, 46.0, 45.80952380952381)","(41.0, 95.0, 84.375)"
04-01-2023 14:29:11.095896,"(7.0, 8.6, 8.3875)","(3.9, 4.4, 4.312)","(12.0, 17.0, 16.82608695652174)","(9.0, 11.5, 11.380434782608695)","(3.5, 3.9, 3.8899122807017545)","(5.5, 6.6, 6.472727272727273)","(14.0, 22.0, 21.458333333333332)","(21.0, 46.0, 44.95652173913044)","(41.0, 95.0, 84.375)"
04-01-2023 14:29:12.366724,"(7.0, 8.6, 8.3875)","(3.9, 4.4, 4.30551724137931)","(12.0, 17.0, 16.82608695652174)","(9.0, 11.5, 11.408333333333333)","(3.5, 3.9, 3.8899122807017545)","(5.5, 6.6, 6.472727272727273)","(14.0, 22.0, 21.458333333333332)","(21.0, 46.0, 44.95652173913044)","(41.0, 95.0, 84.375)"
04-01-2023 14:29:13.592056,"(7.0, 8.6, 8.3875)","(3.9, 4.4, 4.30551724137931)","(12.0, 17.0, 16.727272727272727)","(9.0, 11.5, 11.408333333333333)","(3.5, 3.9, 3.8893518518518517)","(5.5, 6.6, 6.472727272727273)","(14.0, 22.0, 21.555555555555557)","(21.0, 46.0, 44.95652173913044)","(41.0, 95.0, 84.375)"
04-01-2023 14:29:14.861648,"(7.0, 8.6, 8.3875)","(3.9, 4.3, 4.299246231155779)","(12.0, 17.0, 16.583333333333332)","(9.0, 11.5, 11.430817610062894)","(3.5, 3.9, 3.8535398230088496)","(5.5, 6.6, 6.461538461538462)","(14.0, 22.0, 21.53488372093023)","(21.0, 46.0, 44.95652173913044)","(41.0, 95.0, 84.8)"
04-01-2023 14:29:16.313334,"(7.0, 8.4, 8.361538461538462)","(3.9, 4.4, 4.4226190476190474)","(12.0, 17.0, 16.583333333333332)","(9.0, 11.5, 11.460365853658537)","(3.5, 3.9, 3.7602272727272728)","(5.5, 6.6, 6.42)","(14.0, 22.0, 21.565217391304348)","(21.0, 46.0, 44.95652173913044)","(41.0, 95.0, 84.8)"
04-01-2023 14:29:18.121921,"(7.0, 8.4, 8.36969696969697)","(3.9, 4.5, 4.444)","(12.0, 17.0, 16.583333333333332)","(9.0, 11.5, 11.460365853658537)","(3.5, 3.8, 3.760824742268041)","(5.5, 6.6, 6.432478632478633)","(14.0, 22.0, 21.714285714285715)","(21.0, 46.0, 44.95652173913044)","(41.0, 95.0, 84.8)"
04-01-2023 14:29:19.374308,"(7.0, 8.4, 8.36969696969697)","(3.9, 4.5, 4.444)","(12.0, 17.0, 16.583333333333332)","(9.0, 11.5, 11.460365853658537)","(3.5, 3.8, 3.760824742268041)","(5.5, 6.6, 6.462937062937063)","(14.0, 22.0, 21.714285714285715)","(21.0, 46.0, 44.95652173913044)","(41.0, 95.0, 84.8)"
04-01-2023 14:29:20.645735,"(7.0, 8.4, 8.36969696969697)","(3.9, 4.5, 4.443225806451613)","(12.0, 17.0, 16.583333333333332)","(9.0, 11.5, 10.699074074074074)","(3.5, 3.8, 3.743045112781955)","(5.5, 6.6, 6.428070175438597)","(14.0, 22.0, 21.862068965517242)","(21.0, 46.0, 44.95652173913044)","(41.0, 95.0, 84.8)"
04-01-2023 14:29:21.980047,"(7.0, 8.8, 8.496551724137932)","(3.9, 4.5, 4.485820895522388)","(12.0, 17.0, 16.583333333333332)","(9.0, 11.0, 10.443396226415095)","(3.5, 3.75, 3.744628099173554)","(5.5, 6.6, 6.428070175438597)","(14.0, 22.0, 21.862068965517242)","(21.0, 46.0, 44.95652173913044)","(41.0, 95.0, 84.8)"
04-01-2023 14:29:23.317069,"(7.0, 8.8, 8.57)","(3.9, 4.5, 4.489726027397261)","(12.0, 17.0, 16.583333333333332)","(9.0, 10.5, 10.447368421052632)","(3.5, 3.75, 3.743918918918919)","(5.5, 6.6, 6.452459016393443)","(14.0, 22.0, 22.56756756756757)","(21.0, 46.0, 44.95652173913044)","(41.0, 95.0, 84.8)"
04-01-2023 14:29:24.666291,"(7.0, 8.8, 8.661538461538463)","(3.9, 4.5, 4.467977528089888)","(12.0, 17.0, 17.475)","(9.0, 10.5, 10.43233082706767)","(3.5, 3.75, 3.7565714285714287)","(5.5, 6.6, 6.430188679245283)","(14.0, 23.0, 22.94214876033058)","(21.0, 46.0, 45.666666666666664)","(41.0, 95.0, 84.8)"
04-01-2023 14:29:26.028930,"(7.0, 8.8, 8.661538461538463)","(3.9, 4.5, 4.465243902439025)","(12.0, 17.5, 17.594594594594593)","(9.0, 10.5, 10.42741935483871)","(3.5, 3.8, 3.7444444444444445)","(5.5, 6.6, 6.470503597122302)","(14.0, 23.0, 23.555555555555557)","(21.0, 46.0, 45.666666666666664)","(41.0, 95.0, 85.45454545454545)"
04-01-2023 14:29:27.325612,"(7.0, 8.8, 8.73793103448276)","(3.9, 4.5, 4.463690476190476)","(12.0, 18.0, 17.594594594594593)","(9.0, 10.5, 10.42741935483871)","(3.5, 3.75, 3.7285714285714286)","(5.5, 6.6, 6.449006622516556)","(14.0, 24.0, 23.61904761904762)","(21.0, 46.0, 47.25)","(41.0, 95.0, 85.45454545454545)"
04-01-2023 14:29:28.958728,"(7.0, 8.8, 8.787755102040816)","(3.9, 4.5, 4.463690476190476)","(12.0, 18.0, 17.594594594594593)","(9.0, 10.5, 10.437931034482759)","(3.5, 3.75, 3.6962389380530976)","(5.5, 6.6, 6.4524822695035455)","(14.0, 24.0, 23.78125)","(21.0, 48.0, 47.76470588235294)","(41.0, 95.0, 83.33333333333333)"
04-01-2023 14:29:30.903153,"(7.0, 9.0, 8.776923076923076)","(3.9, 4.5, 4.463690476190476)","(12.0, 18.0, 17.594594594594593)","(9.0, 10.5, 10.431818181818182)","(3.5, 3.7, 3.689906103286385)","(5.5, 6.6, 6.4477419354838705)","(14.0, 24.0, 23.78125)","(21.0, 48.0, 45.5)","(41.0, 95.0, 96.875)"
04-01-2023 14:29:32.233207,"(7.0, 9.0, 8.776923076923076)","(3.9, 4.5, 4.463690476190476)","(12.0, 18.0, 17.594594594594593)","(9.0, 10.5, 10.431818181818182)","(3.5, 3.7, 3.7105960264900664)","(5.5, 6.6, 6.416949152542373)","(14.0, 24.0, 23.63157894736842)","(26.0, 48.0, 45.75)","(41.0, 110.0, 92.5)"
04-01-2023 14:29:33.508069,"(7.0, 9.0, 8.914893617021276)","(3.9, 4.5, 4.4496453900709225)","(12.0, 18.0, 17.594594594594593)","(9.0, 10.5, 10.368098159509202)","(3.5, 3.75, 3.7230978260869567)","(5.5, 6.6, 6.419428571428571)","(14.0, 24.0, 23.736842105263158)","(26.0, 48.0, 44.666666666666664)","(41.0, 110.0, 92.5)"
04-01-2023 14:29:34.858145,"(7.0, 9.0, 8.859649122807017)","(3.9, 4.5, 4.4496453900709225)","(12.0, 18.0, 17.594594594594593)","(9.0, 10.5, 10.363057324840764)","(3.5, 3.75, 3.7067796610169492)","(5.5, 6.6, 6.46304347826087)","(14.0, 24.0, 23.736842105263158)","(26.0, 48.0, 45.2)","(41.0, 110.0, 92.5)"
04-01-2023 14:29:36.170403,"(7.0, 9.0, 8.859649122807017)","(3.9, 4.5, 4.445360824742268)","(12.0, 18.0, 17.594594594594593)","(9.0, 10.5, 10.363057324840764)","(3.5, 3.75, 3.7069565217391305)","(5.5, 6.6, 6.465909090909091)","(14.0, 24.0, 23.736842105263158)","(26.0, 48.0, 41.42857142857143)","(41.0, 110.0, 92.5)"
04-01-2023 14:29:37.523799,"(7.0, 9.0, 8.859649122807017)","(3.9, 4.4, 4.381619937694705)","(12.0, 18.0, 17.594594594594593)","(9.0, 10.5, 10.372549019607844)","(3.5, 3.75, 3.707692307692308)","(5.5, 6.6, 6.484057971014493)","(14.0, 24.0, 23.736842105263158)","(26.0, 44.0, 41.65217391304348)","(41.0, 110.0, 92.5)"
04-01-2023 14:29:39.464638,"(7.0, 9.0, 8.874074074074073)","(3.9, 4.4, 4.381619937694705)","(12.0, 18.0, 17.642857142857142)","(9.0, 10.5, 10.358552631578947)","(3.5, 3.75, 3.723076923076923)","(5.5, 6.6, 6.476315789473684)","(14.0, 24.0, 23.736842105263158)","(26.0, 44.0, 44.714285714285715)","(41.0, 110.0, 92.5)"
04-01-2023 14:29:41.089836,"(7.0, 9.0, 8.874074074074073)","(3.9, 4.4, 4.381619937694705)","(12.0, 18.0, 17.642857142857142)","(9.0, 10.5, 10.28921568627451)","(3.5, 3.75, 3.7007462686567165)","(5.5, 6.6, 6.741935483870968)","(14.0, 24.0, 23.736842105263158)","(26.0, 46.0, 44.25806451612903)","(41.0, 110.0, 99.23076923076923)"
04-01-2023 14:29:42.551885,"(7.0, 9.0, 8.82686567164179)","(3.9, 4.4, 4.381619937694705)","(12.0, 18.0, 17.642857142857142)","(9.0, 10.5, 10.29816513761468)","(3.5, 3.75, 3.7007462686567165)","(5.5, 6.8, 6.677419354838709)","(14.0, 24.0, 23.736842105263158)","(26.0, 46.0, 44.25806451612903)","(41.0, 110.0, 99.23076923076923)"
04-01-2023 14:29:43.870544,"(7.0, 9.0, 8.841269841269842)","(3.9, 4.4, 4.369129287598945)","(12.0, 18.0, 18.653846153846153)","(9.0, 10.5, 10.29816513761468)","(3.5, 3.75, 3.721794871794872)","(5.5, 6.8, 6.574603174603174)","(14.0, 24.0, 23.736842105263158)","(26.0, 46.0, 44.25806451612903)","(41.0, 110.0, 99.23076923076923)"
04-01-2023 14:29:45.268539,"(7.0, 9.0, 8.81132075471698)","(3.9, 4.4, 4.357172557172557)","(12.0, 19.0, 18.56896551724138)","(9.0, 10.5, 10.29816513761468)","(3.5, 3.75, 3.6153846153846154)","(5.5, 6.6, 6.626804123711341)","(14.0, 24.0, 23.736842105263158)","(26.0, 46.0, 43.88235294117647)","(41.0, 110.0, 103.0)"
04-01-2023 14:29:46.577073,"(7.0, 9.0, 8.81132075471698)","(3.9, 4.4, 4.357172557172557)","(12.0, 19.5, 18.833333333333332)","(9.0, 10.5, 10.288461538461538)","(3.5, 3.65, 3.5507142857142857)","(5.5, 6.8, 6.636559139784946)","(14.0, 24.0, 23.736842105263158)","(26.0, 46.0, 43.23076923076923)","(41.0, 110.0, 103.0)"
04-01-2023 14:29:47.842597,"(7.0, 9.0, 8.81132075471698)","(3.9, 4.4, 4.3699481865284975)","(12.0, 19.0, 18.666666666666668)","(9.0, 10.5, 10.288461538461538)","(3.5, 3.6, 3.5514084507042254)","(5.5, 6.8, 6.636559139784946)","(14.0, 24.0, 23.736842105263158)","(26.0, 46.0, 41.72727272727273)","(41.0, 110.0, 103.4375)"
04-01-2023 14:29:49.156852,"(7.0, 9.0, 8.73953488372093)","(3.9, 4.4, 4.337634408602151)","(12.0, 19.0, 18.705882352941178)","(9.0, 10.5, 10.288461538461538)","(3.5, 3.6, 3.568840579710145)","(5.5, 6.8, 6.626804123711341)","(14.0, 24.0, 23.736842105263158)","(26.0, 42.0, 42.72727272727273)","(41.0, 110.0, 103.4375)"
04-01-2023 14:29:50.556473,"(7.0, 9.0, 8.806896551724138)","(3.9, 4.4, 4.3471337579617835)","(12.0, 19.0, 18.705882352941178)","(9.0, 10.5, 10.282178217821782)","(3.5, 3.6, 3.5692857142857144)","(5.5, 6.8, 6.626804123711341)","(14.0, 24.0, 23.736842105263158)","(26.0, 46.0, 43.93103448275862)","(41.0, 110.0, 122.85714285714286)"
04-01-2023 14:29:52.042629,"(7.0, 9.0, 8.806896551724138)","(3.9, 4.4, 4.355072463768116)","(13.0, 19.0, 18.615384615384617)","(9.0, 10.5, 10.098148148148148)","(3.5, 3.6, 3.527647058823529)","(5.5, 6.8, 6.66)","(14.0, 24.0, 23.736842105263158)","(26.0, 46.0, 43.93103448275862)","(41.0, 140.0, 114.61538461538461)"
04-01-2023 14:29:53.355212,"(7.0, 9.0, 8.863157894736842)","(3.9, 4.4, 4.355072463768116)","(13.0, 19.0, 18.710526315789473)","(9.0, 10.5, 10.289473684210526)","(3.5, 3.55, 3.5114285714285716)","(5.5, 6.8, 6.447120418848168)","(14.0, 24.0, 23.977777777777778)","(26.0, 46.0, 44.125)","(41.0, 140.0, 125.78947368421052)"
04-01-2023 14:29:54.879719,"(7.0, 9.0, 8.902702702702703)","(3.9, 4.4, 4.357228915662651)","(13.0, 19.5, 18.857142857142858)","(9.0, 10.5, 10.289473684210526)","(3.5, 3.55, 3.544)","(5.5, 6.6, 6.447120418848168)","(14.0, 25.0, 24.14814814814815)","(26.0, 46.0, 42.36363636363637)","(41.0, 140.0, 125.78947368421052)"
04-01-2023 14:29:56.195639,"(7.0, 9.0, 8.902702702702703)","(3.9, 4.4, 4.352054794520548)","(13.0, 19.0, 18.77777777777778)","(9.0, 10.5, 10.289473684210526)","(3.5, 3.55, 3.553554502369668)","(5.5, 6.6, 6.453266331658291)","(14.0, 25.0, 24.53488372093023)","(26.0, 46.0, 42.5)","(41.0, 140.0, 125.78947368421052)"
04-01-2023 14:29:57.563459,"(7.0, 9.0, 8.902702702702703)","(3.9, 4.4, 4.352054794520548)","(13.0, 19.0, 18.76923076923077)","(9.0, 10.5, 10.289473684210526)","(3.5, 3.6, 3.553554502369668)","(5.5, 6.6, 6.578378378378378)","(14.0, 25.0, 25.625)","(26.0, 44.0, 41.888888888888886)","(41.0, 140.0, 125.78947368421052)"
04-01-2023 14:29:58.837043,"(7.0, 9.0, 8.902702702702703)","(3.9, 4.4, 4.352054794520548)","(13.0, 19.0, 18.79310344827586)","(9.0, 10.5, 10.277777777777779)","(3.5, 3.6, 3.553554502369668)","(5.5, 6.6, 6.588888888888889)","(14.0, 26.0, 24.90909090909091)","(26.0, 42.0, 41.47826086956522)","(41.0, 140.0, 125.78947368421052)"
04-01-2023 14:30:00.097392,"(7.0, 9.0, 8.866666666666667)","(3.9, 4.4, 4.355357142857143)","(13.0, 19.0, 18.79310344827586)","(9.0, 10.5, 10.277777777777779)","(3.5, 3.6, 3.5307692307692307)","(5.5, 6.8, 6.629411764705882)","(14.0, 25.0, 24.94736842105263)","(26.0, 42.0, 42.4)","(41.0, 140.0, 125.78947368421052)"
04-01-2023 14:30:01.317517,"(7.0, 9.0, 8.866666666666667)","(3.9, 4.4, 4.360445682451253)","(13.0, 19.0, 18.88235294117647)","(9.0, 10.5, 10.223529411764705)","(3.5, 3.55, 3.532258064516129)","(5.5, 6.8, 6.585840707964602)","(14.0, 25.0, 25.384615384615383)","(26.0, 44.0, 42.4)","(41.0, 140.0, 125.78947368421052)"
04-01-2023 14:30:02.489351,"(7.0, 9.0, 8.866666666666667)","(3.9, 4.4, 4.191919191919192)","(13.0, 19.0, 19.15)","(9.0, 10.5, 10.267326732673267)","(3.5, 3.55, 3.5745283018867924)","(5.5, 6.6, 6.694736842105263)","(14.0, 26.0, 25.11111111111111)","(26.0, 44.0, 47.53846153846154)","(41.0, 140.0, 125.78947368421052)"
04-01-2023 14:30:03.771842,"(7.0, 8.8, 8.7811320754717)","(3.9, 4.2, 4.191919191919192)","(13.0, 19.5, 19.15)","(9.0, 10.5, 10.267326732673267)","(3.5, 3.6, 3.574096385542169)","(5.5, 6.8, 6.707462686567164)","(14.0, 26.0, 25.11111111111111)","(26.0, 48.0, 44.90909090909091)","(41.0, 140.0, 122.0)"
04-01-2023 14:30:04.947522,"(7.0, 9.0, 8.878260869565217)","(3.9, 4.3, 4.232957746478873)","(13.0, 19.5, 18.52)","(9.0, 10.5, 10.421666666666667)","(3.5, 3.6, 3.5717021276595746)","(5.5, 6.8, 6.725301204819277)","(14.0, 26.0, 25.918367346938776)","(26.0, 46.0, 44.285714285714285)","(41.0, 140.0, 131.8181818181818)"
04-01-2023 14:30:06.052241,"(7.0, 9.0, 8.9125)","(3.9, 4.3, 4.232957746478873)","(13.0, 19.0, 18.52)","(9.0, 10.5, 10.421666666666667)","(3.5, 3.6, 3.5717021276595746)","(5.5, 6.8, 6.725301204819277)","(14.0, 26.0, 26.764705882352942)","(26.0, 46.0, 44.285714285714285)","(41.0, 140.0, 131.8181818181818)"
04-01-2023 14:30:07.434771,"(7.0, 9.2, 8.982608695652173)","(3.9, 4.3, 4.229700272479564)","(13.0, 18.5, 18.4375)","(9.0, 10.5, 10.423202614379084)","(3.5, 3.6, 3.572077922077922)","(5.5, 6.8, 6.731111111111111)","(14.0, 27.0, 26.764705882352942)","(26.0, 46.0, 44.18181818181818)","(41.0, 140.0, 131.8181818181818)"
04-01-2023 14:30:08.618181,"(7.0, 9.2, 9.033333333333333)","(3.9, 4.3, 4.173684210526316)","(13.0, 18.5, 18.425925925925927)","(9.0, 10.5, 10.418333333333333)","(3.5, 3.6, 3.6020833333333333)","(5.5, 6.8, 6.730526315789473)","(14.0, 27.0, 26.764705882352942)","(26.0, 46.0, 44.666666666666664)","(41.0, 140.0, 104.0)"
04-01-2023 14:30:09.784015,"(7.0, 9.2, 9.033333333333333)","(3.9, 4.2, 4.174006116207951)","(13.0, 18.5, 18.425925925925927)","(9.0, 10.5, 10.402390438247012)","(3.5, 3.65, 3.6202928870292888)","(5.5, 6.8, 6.68062015503876)","(14.0, 27.0, 26.764705882352942)","(26.0, 46.0, 41.30769230769231)","(41.0, 140.0, 120.625)"
04-01-2023 14:30:11.000870,"(7.0, 9.2, 9.033333333333333)","(3.9, 4.2, 4.174006116207951)","(13.0, 18.5, 18.425925925925927)","(9.0, 10.5, 10.359022556390977)","(3.5, 3.65, 3.6202928870292888)","(5.5, 6.8, 6.67479674796748)","(14.0, 27.0, 26.4)","(26.0, 42.0, 44.2)","(41.0, 130.0, 119.41176470588235)"
04-01-2023 14:30:12.201503,"(7.0, 9.2, 9.033333333333333)","(3.9, 4.2, 4.174006116207951)","(13.0, 18.5, 18.425925925925927)","(9.0, 10.5, 10.342293906810037)","(3.5, 3.65, 3.6215555555555556)","(5.5, 6.8, 6.67479674796748)","(14.0, 27.0, 26.4)","(26.0, 46.0, 44.2)","(41.0, 130.0, 119.41176470588235)"
04-01-2023 14:30:13.418778,"(7.0, 9.2, 9.033333333333333)","(3.8, 4.2, 4.163203463203463)","(13.0, 18.5, 18.359375)","(9.0, 10.5, 10.3364312267658)","(3.4, 3.65, 3.6215555555555556)","(5.5, 6.8, 6.6850746268656716)","(15.0, 27.0, 26.4)","(26.0, 46.0, 44.2)","(41.0, 130.0, 116.15384615384616)"
04-01-2023 14:30:14.624413,"(7.0, 9.2, 9.033333333333333)","(3.8, 4.2, 4.161864406779661)","(13.0, 18.5, 18.359375)","(9.0, 10.5, 10.3364312267658)","(3.4, 3.65, 3.632283464566929)","(5.5, 6.8, 6.6850746268656716)","(15.0, 27.0, 26.4)","(26.0, 46.0, 43.81818181818182)","(41.0, 130.0, 119.41176470588235)"
04-01-2023 14:30:15.745597,"(7.0, 9.2, 9.033333333333333)","(3.8, 4.2, 4.161864406779661)","(13.0, 18.5, 18.359375)","(9.0, 10.5, 10.3364312267658)","(3.4, 3.65, 3.632283464566929)","(5.5, 6.8, 6.598692810457516)","(15.0, 27.0, 26.8)","(26.0, 46.0, 41.44827586206897)","(41.0, 130.0, 119.41176470588235)"
04-01-2023 14:30:16.845703,"(7.0, 9.0, 8.927272727272728)","(3.8, 4.2, 4.160352422907489)","(13.0, 18.5, 18.425925925925927)","(9.0, 10.5, 10.350847457627118)","(3.4, 3.65, 3.6648026315789473)","(5.5, 6.8, 6.573626373626373)","(15.0, 27.0, 27.08108108108108)","(26.0, 42.0, 43.2)","(41.0, 130.0, 119.41176470588235)"
04-01-2023 14:30:17.904127,"(7.0, 9.0, 8.912903225806453)","(3.8, 4.2, 4.160352422907489)","(13.0, 18.5, 18.425925925925927)","(9.0, 10.5, 10.350847457627118)","(3.4, 3.7, 3.6648026315789473)","(5.5, 6.6, 6.573626373626373)","(15.0, 28.0, 26.84375)","(26.0, 46.0, 43.2)","(41.0, 130.0, 116.15384615384616)"
04-01-2023 14:30:18.965192,"(7.5, 9.0, 8.841176470588236)","(3.8, 4.2, 4.160352422907489)","(13.0, 18.5, 18.425925925925927)","(9.0, 10.5, 10.350847457627118)","(3.4, 3.7, 3.6638513513513513)","(5.5, 6.6, 6.5858823529411765)","(15.0, 27.0, 27.35)","(26.0, 46.0, 42.92307692307692)","(51.0, 130.0, 119.41176470588235)"
04-01-2023 14:30:20.050612,"(7.5, 9.0, 8.841176470588236)","(3.8, 4.2, 4.160352422907489)","(13.0, 18.5, 18.425925925925927)","(9.0, 10.5, 10.350847457627118)","(3.4, 3.7, 3.6723404255319148)","(5.5, 6.6, 6.5887850467289715)","(15.0, 28.0, 27.35)","(26.0, 46.0, 42.92307692307692)","(51.0, 130.0, 119.41176470588235)"
04-01-2023 14:30:21.184640,"(7.5, 9.0, 8.868292682926828)","(3.8, 4.2, 4.160352422907489)","(13.0, 18.5, 18.425925925925927)","(9.0, 10.5, 10.37912087912088)","(3.4, 3.7, 3.6754901960784316)","(5.5, 6.6, 6.542148760330579)","(15.0, 28.0, 27.333333333333332)","(26.0, 46.0, 43.857142857142854)","(51.0, 130.0, 116.15384615384616)"
