,Judge Jujon,Oyster Stride,The Sportz Star,The Irish Eagle,Chainlinc,King Of Trumps Nz,Whataboyjack
12-01-2023 14:33:31.523903,"(4.6, 8.0, 7.1)","(41.0, 90.0, 55.33333333333333)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:32.645187,"(4.6, 8.0, 7.1)","(41.0, 90.0, 55.33333333333333)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:33.763556,"(4.6, 8.0, 7.1)","(41.0, 90.0, 55.33333333333333)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:34.811160,"(4.6, 8.0, 7.1)","(41.0, 90.0, 55.33333333333333)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:35.949934,"(4.6, 8.0, 7.1)","(41.0, 90.0, 55.33333333333333)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:37.119048,"(4.6, 8.0, 7.1)","(41.0, 90.0, 55.33333333333333)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:38.319449,"(4.6, 8.0, 7.1)","(41.0, 90.0, 55.33333333333333)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:39.408813,"(4.6, 8.0, 7.1)","(41.0, 90.0, 55.33333333333333)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:40.661723,"(4.6, 8.0, 7.48)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:41.887923,"(4.6, 8.0, 7.48)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:43.148979,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:44.293244,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:45.446980,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:46.656280,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:47.791547,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:48.921922,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:50.064081,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:51.255928,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:52.397649,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:53.540659,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:54.693463,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:55.811276,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:57.078591,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:58.250579,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:33:59.360035,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:00.436968,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:01.535827,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:02.703262,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:03.823489,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:05.234278,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:06.422873,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:07.633933,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 21.666666666666668)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:08.966376,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:10.281215,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:11.925120,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:13.243236,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:14.536970,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 56.66666666666667)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:16.005566,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 77.5)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:17.304299,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 74.0)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:18.571904,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 74.0)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:19.762852,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 74.0)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:20.848212,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 74.0)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.857142857142858)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 2.89)"
12-01-2023 14:34:21.973850,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 74.0)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.030909090909091)"
12-01-2023 14:34:23.215765,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 74.0)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.030909090909091)"
12-01-2023 14:34:24.420019,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 74.0)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.030909090909091)"
12-01-2023 14:34:25.703533,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 74.0)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.030909090909091)"
12-01-2023 14:34:26.944563,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 74.0)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.030909090909091)"
12-01-2023 14:34:28.094531,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 74.0)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.030909090909091)"
12-01-2023 14:34:29.284059,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 74.0)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.030909090909091)"
12-01-2023 14:34:30.654323,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 74.0)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.030909090909091)"
12-01-2023 14:34:31.904067,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 74.0)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.030909090909091)"
12-01-2023 14:34:33.080455,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 74.0)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.030909090909091)"
12-01-2023 14:34:34.303491,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 74.0)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:35.389337,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 76.28571428571428)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:36.448947,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 76.28571428571428)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:37.483234,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 76.28571428571428)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:38.735718,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 76.28571428571428)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:39.899396,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 76.28571428571428)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:40.997225,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 76.28571428571428)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:42.192547,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 76.28571428571428)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:43.416722,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 76.28571428571428)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:44.624702,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 76.28571428571428)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:45.792479,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 76.28571428571428)","(17.0, 32.0, 24.25)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:46.918843,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:48.122629,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.871428571428572)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:49.388366,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:50.563873,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:51.655861,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:52.903904,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:54.112202,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:55.232324,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:56.417642,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:57.502884,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:58.663044,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:34:59.755493,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:00.848999,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:02.048559,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:03.180217,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:04.248808,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:05.376649,"(4.6, 8.0, 7.527272727272727)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:06.553827,"(4.6, 8.0, 7.566666666666666)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:07.579219,"(4.6, 8.0, 7.566666666666666)","(41.0, 90.0, 66.0)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:08.645195,"(4.6, 8.0, 7.566666666666666)","(41.0, 90.0, 70.8)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:09.832962,"(4.6, 8.0, 7.566666666666666)","(41.0, 90.0, 70.8)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:10.912684,"(4.6, 8.0, 7.566666666666666)","(41.0, 90.0, 70.8)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:12.005874,"(4.6, 8.0, 7.566666666666666)","(41.0, 90.0, 70.8)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:13.136191,"(4.6, 8.0, 7.566666666666666)","(41.0, 90.0, 70.8)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:14.199813,"(4.6, 8.0, 7.566666666666666)","(41.0, 90.0, 70.8)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:15.232884,"(4.6, 8.0, 7.566666666666666)","(41.0, 90.0, 70.8)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:16.402867,"(4.6, 8.0, 7.566666666666666)","(41.0, 90.0, 70.8)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:17.485354,"(4.6, 8.0, 7.566666666666666)","(41.0, 90.0, 70.8)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:18.525309,"(4.6, 8.0, 7.566666666666666)","(41.0, 90.0, 70.8)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:19.610753,"(4.6, 8.0, 7.566666666666666)","(41.0, 90.0, 70.8)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:20.772564,"(4.6, 8.0, 7.566666666666666)","(41.0, 90.0, 70.8)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:21.954484,"(4.6, 8.0, 7.566666666666666)","(41.0, 90.0, 70.8)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:23.101580,"(4.6, 8.0, 7.566666666666666)","(41.0, 90.0, 70.8)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
12-01-2023 14:35:24.251789,"(4.6, 8.0, 7.566666666666666)","(41.0, 90.0, 70.8)","(17.0, 32.0, 22.0)","(6.0, 9.4, 8.5)","(2.7, 3.95, 3.6766666666666667)","(14.0, 99999, 99990)","(2.5, 3.2, 3.045)"
